,limericks,rhyme_score,nonrhyme_score,context_score
246,"with her face cut and ears black as coal 
 she looks nothing like an allyoucaneat mcgee 
 with her eyes black as coal 
 soaked in oil with no stopper 
 no doubt shell have some tricks up her sleeve

",0,5,1.134815205
247,"your old lady seems pretty dandy 
 you know that theres really noandy 
 but shes been to the fair 
 and been back with the fair 
 so you have to be lucky to dandy

",4,6,1.13399902
248,"in my dreams i dont dream every day 
 i dont want to wake up every mow 
 i keep dreamin i know 
 ive a good day but forsooth 
 im a dead mans room dweller all day

",1,5,1.131365657
249,"ive done my thing  its my way or mine 
 ive been through the paces of mine 
 and this time im done dead 
 so your curse i have said 
 ill come through it and win if i can

",2,6,1.129763275
250,"a collocation of nations together 
 can help meet the real need of harmon 
 so our nations unite 
 in one common cause for 
 us  well be better together

",1,6,1.129068986
251,"i have bought many dozens of seeds 
 and my harvest yield just one bids 
 but my wife is a chum 
 so dont waste your time 
 shes a chum and her chums what she needs

",2,6,1.128875531
252,"from my point ofview the whole world 
 is at war with the left and all cronies 
 all their schemes theyre all fakes 
 and theyll win in duels 
 with their plots for regime change theyll serve britneys

",1,6,1.127946869
253,"ancient elchas the place where one might 
 become an athens called ephorax 
 when this place was then named 
 by ephorax the game 
 became elchus the same way that might

",1,6,1.127883494
254,"that blackhead we hear in the air 
 as we walk down the street i swear 
 it is something i dread 
 it is not like a head 
 it is black youll be hearing it later

",2,6,1.125808924
255,"as a child i would fall asleep and bawl 
 while my mom made a patter of  custard 
 its sour  sweet flavor 
 in tea made from flavor 
 in a dish called achamel sauce

",1,6,1.125234632
256,"a dutchman of old at his birth 
 was no doubt about it being worth 
 a good christmas he felt 
 at the crescent he felt 
 while his dad was present in mirth

",4,6,1.122721165
257,"if your love life is dying dont panic 
 its your deathbed that holds in store ya 
 your last breath or some more 
 of this limerick no chore 
 not your last but your very last psalter

",2,4,1.122360364
258,"my friend a good cook is the barber 
 who barber is also a surgeon 
 with more cutting edge skill 
 he is no kind of nut 
 though hes willing to cut with no airser

",0,6,1.12234357
259,"my wife and i go for a dip 
 as a husband we often say trip 
 when a houseplants high up 
 we mean bovines dont sup 
 but bovine is our word for a mop

",4,0,1.12164472
260,"its a dish well worthries and such 
 with aname on the side so its chutch 
 its a chutney a dutch 
 and a bedpan a wutch 
 as a treat for a hotchaturch

",4,0,1.121267378
261,"if i die then i must leave behind 
 my own body  my wife and my kind 
 my sweet cat and my dog 
 my young son who i know 
 my abombys my grave im undressed

",1,6,1.117630184
262,"this wasnt really a place to be born 
 its a slough thats a place to have fun 
 since its cold here its wet 
 and youd say lets make it 
 but its here i suspect you have fun

",4,6,1.116158545
263,"that cute cat on your bed has no man 
 his whole face is a mere catbird 
 no fur on his head 
 not a soul nor a thread 
 hes as skinny as an ant in his den

",1,6,1.115130559
264,"said a man without any compunction 
 my new business just went bust by the dozens 
 now this business must die 
 i shall close up our shop 
 cause this salesmans too hotheaded

",0,6,1.11482428
265,"the greek city of grecia is kraum 
 theres a lake where youd like to cavort 
 in the mist its called eugnea 
 a state that has swenia 
 and is lovely with swamps so youll jeeve a

",1,4,1.110556036
266,"youre accursed youre accursed youre a bore 
 youre a pest youre a sickening swore 
 youve turned me to ash 
 i cant fight youre a disgrace 
 youre a pain you a drain  a black hole

",1,6,1.110336617
267,"the bollards the place youll be found 
 youll be treated to meal for your guest 
 when they board your bus 
 youll soon be a boll 
 if you choose you will be on the road

",0,6,1.108426914
268,"the black hole had no black hole at all 
 as a matter of fact it had small 
 and when blackened its eye 
 was a blackeningying he 
 was exposed on the surface and fall

",3,6,1.108239919
269,"theyve been working all night without stop 
 theres a sound that will fill out the shop 
 for some airtime now  okay 
 but the workman at mick 
 has just quit the shop which is such

",1,6,1.107325494
270,"a cantankerous fellow named frank 
 had a great reputation as a crank 
 every time he got home 
 they would all take a gomme 
 a nap  and soon frank would look hanker

",2,6,1.106953204
271,"they were named for the same thing it was 
 the old calorian god of the seas 
 who was given a name 
 for the land that he became 
 he was later called the great wench of hector

",1,6,1.104063839
272,"dont be cross  my new boyfriend is cute 
 but he might be just not so astute 
 he is dumb or a rube 
 when he turns up the tube 
 his attention will drive me right nuts

",2,6,1.100403592
273,"said a teacher all students will know 
 the new method that schools can afford 
 it works well all told 
 in a test you can hold 
 to succeed if you use it as f

",1,6,1.099428833
274,"with a britainbound man from ceilidh 
 dining out in the sun as an eelidh 
 he was told by his host 
 the great brits are abeless 
 for all of their bling is a dead eelidh

",3,6,1.099390224
275,"i think i will ask any cop 
 how it feels when a dog or a mop 
 goes round the edge of town 
 with a pounce that goes down 
 and it hits me right there in the clop

",4,6,1.096318036
276,"in some parts of the uk they call 
 a delahis an oftenarsharped 
 its a noise you should heed 
 or a dog in the herd 
 or a bird in the sky thats devoured

",0,5,1.094667964
277,"theres an african tree that i like 
 its the cambium that sits right next 
 to the forest green meadow 
 thats where the white buberry 
 will grow where its brammed and thats where its nicked

",0,6,1.094306052
278,"when a limerick is on my mind 
 i think youll agree with me kind 
 if its funny youll find 
 that the rhyme scheme is designed 
 to rhyme the word after the jed

",2,2,1.093292672
279,"a good bed rest can help to restore 
 but its also a great meal to serve 
 there are bedocks and sheets 
 and no clothes on the sheets 
 but with napocks they wont have to make

",1,6,1.09222158
280,"an anoaks what folks will use for 
 if a plant has a weak spot where it views 
 it has no flowers 
 or seeds in the bowers 
 but the leaves there may turn to green prints

",1,6,1.089058049
281,"it isnt a crime to complain 
 how could i care to be called one of a kind 
 i have never been pawed 
 and the bollocks i keep 
 are as nice as a bollocks youre lied

",0,6,1.088853478
282,"my dad has a problem he knows 
 his face graces only two sides 
 he looks down on the right 
 so im hoping you might 
 look away from my dad and my toes

",2,6,1.086846352
283,"that bongos a hardrope i hear 
 from some big band of swiss  theyve a bey 
 they are playing its high 
 but the sound makes me sigh 
 i can tell from the way they sound ee

",1,4,1.085218802
284,"since his dad was an all star its seemed 
 that the great wasnt one that he prized 
 but in true life he had failed 
 so at birth they had hailed 
 both as hero and boy hes noweared

",1,6,1.084519491
285,"when a balsam tea ends ive been told 
 an albatross will cause me to fold 
 in old books its a bird 
 not quite snappy or nerds 
 but rather a bird with long wings

",2,6,1.08402507
286,"when i go on a trip to la 
 with my kids i take naps on the way 
 on these cadas we play 
 moms are sick in the bay 
 as i take in the water in play

",4,0,1.083975554
287,"dissolution of orders demands 
 that a king make the whole of the lands 
 all powers to leave 
 in the hands of his liege 
 his king is his subjects with bands

",4,6,1.082800666
288,"though the doctor has warned you well know 
 your condition is not what you should be 
 theres a small tumour in you 
 which is growing quite coley 
 it is clear im not up to your c

",1,3,1.082123771
289,"in your face is my smile id suggest 
 and dont look to the side of the pond 
 since youve not come up to 
 see the whole picture you 
 need my face  with the eyes of a guest

",2,6,1.081689581
290,"as you study a botany text 
 you will find that the leaves of this blight 
 make a chemical mess 
 with this stem every day 
 you can quickly lose track of your blight

",1,6,1.081115365
291,"all the people who sat at our dance 
 had their rights to complain with the prance 
 when the lady said this 
 im not worth the sass 
 said the gal theres the rub of the pants

",3,6,1.077214569
292,"to give birth it was used to abate 
 the term abate thats what i ate 
 and when women took note 
 weve been here for quite long 
 its the day that we call aploidy mate

",3,6,1.07715866
293,"its a fish thats no longer than small 
 and not grown in my garden at all 
 its a fly caught in air 
 is it buzzsaw or bear 
 its a wren that flies into a mall

",4,6,1.07594876
294,"the cinderella was wearing her crown 
 and a gown and a coat at the town 
 but the prince charming her 
 lost his crown and was corned 
 and he left all the cash to the clown

",3,6,1.075942501
295,"for a year ive become a dyedint 
 my mom said i was too bright  thats a truth 
 in this time im alone 
 in my room i should moan 
 all alone  and i dont get too uptight

",1,6,1.072635055
296,"youll find boracic plants with no stem 
 theyre the same every year there is er 
 one for each of a leaf 
 and thats true every year 
 the same age every year  as you hear

",0,5,1.072415072
297,"when i met you i felt quite affectionally 
 but that last time ive told you was curtainally 
 so im calling it quits 
 in my mind im a ben 
 you say dear  not a curtain or curtain

",1,6,1.07215552
298,"a beagle named anne of the rhine 
 had a bad case ofitis called swine 
 for this reason a poo 
 turned into a poo 
 and i guess you could say that she swine

",4,6,1.070436642
299,"the word antiprotons often 
 becomes better i think when you speak 
 for the balance well need 
 when we cant get to read 
 its the point that we find when we speak

",2,6,1.068892188
300,"i was taking a test that was last 
 and the answer id come to regret 
 was that dacron a letter 
 from someone i letter 
 dont know just was my last

",2,6,1.068416417
301,"i dont think ill pass on my last wish 
 but ill die for my countrys for fish 
 though i may have a date 
 that may not be for bait 
 you cant say why id take my last dish

",4,6,1.066465527
302,"the word damian is one you can guess 
 that the earths so flat im a mess 
 if you look far away 
 through a fog that is gray 
 what youll see is a flat earthball yes

",4,6,1.065609731
303,"we go dank and we drink without breaking 
 and our spirits are sweet in azing 
 but the cause that i fear 
 is that everyone here 
 will be drinking down beers  which i am

",2,6,1.0653788
304,"theres a fish and an eel that amaze 
 its the eel that my daughter supplies 
 to her friends and then friends 
 for her meals it would be 
 if we were served a dainty dish

",0,6,1.065338299
305,"i was walking a blind man by 
 where i heard the man rattle his babbling bro 
 i tried telling the lad 
 but the lad wasnt mad 
 for he was only a dog

",1,6,1.064898878
306,"the word crayonism doesnt sound funny 
 nor in many a limerick any funny 
 this form is completely banal 
 to the wordsmiths in chanel 
 i call that a crayon and broumin

",2,6,1.06426093
307,"there once was an agouti i met 
 who complained hed been born in a pond 
 when my soninlaw said 
 go for broke and go forth 
 youre no longer an agouti you pet

",1,6,1.061918303
308,"as a student of french im an eye dropter 
 who is quick to make students run  why 
 why the champs we would call 
 as youre tall or so tall 
 when youre looking at all in one eye dropter

",2,6,1.060415916
309,"he was sent back to old alaska last night 
 now he lives there again hes a sight 
 his alaska townie 
 wears loose clothing its true he 
 was outta his mind with a light

",4,6,1.057689443
310,"an amorous fellow named robert 
 likes to go bareheaded and not strut 
 he is hoping to find 
 the right clothes when he doth 
 go and buy a new bra for his suit

",1,6,1.057598189
311,"your actions are criminal and vile 
 for what they say does not mean 
 your conduct is vile 
 not a good reason 
 im sorry youre guilty of spine

",1,5,1.057504475
312,"an irishman long at the bawl 
 bought a fiddle and droned on a bawl 
 his old ark had been lost 
 and his pride was replaced 
 when his boat was pulled into the sea

",1,6,1.056913838
313,"my kids use a word that can shock 
 they can walk all around with a clock 
 or crawl round its side 
 as they crawl round the side 
 and play loud tunes on a tuba or rock

",4,6,1.056574926
314,"sherlock holmes once said something i cannot 
 get to save a dead woman from harm 
 you can tell when you look 
 and the blood doesnt seem 
 to be red in the head with the harm

",1,4,1.056537762
315,"theres a term that is sadly obsolete 
 dont let it be used youre secure 
 its more secure than you think 
 and that wouldnt be new 
 the word dna just wasnt secure

",1,6,1.055199862
316,"youre an animal who has some tricks 
 i adore you that bighead of micks 
 youre so big and so big 
 youre your brotherim dig 
 im an exink man man  big shot

",2,6,1.055028439
317,"we went on a drive to the fair 
 we were happy when we were aware 
 that the ride that we had 
 wasnt for us alone 
 but with only two wheelswe were there

",3,6,1.054574117
318,"the alice an oldfashioned german 
 and queen of the land was the queen 
 of the south and her reign 
 twas for her that each man 
 and his children made many a scene

",1,5,1.053698376
319,"when youre using a word and its lacking 
 a phrase for some words that youre using 
 it should have a meaning 
 not verse itsavaangs 
 it is simply  this limericks cracking

",3,3,1.052218422
320,"its a town near the river called champlain 
 in the north and theres many a clamor 
 but its where youll find brie 
 in the form of a bea 
 youll find it where pea soup is a berry

",1,4,1.048511103
321,"to be ailing you must go to the doctors 
 as theyre trained in a way to revive it 
 if your limbs dont move very 
 the muscles get weak 
 and your bones will all call to the morticians

",0,6,1.047840685
322,"your face is all smudgey and smudgey 
 when i tried my best to be fudgey 
 i tried my best best sleaze 
 and i finally grew 
 as i fell through my bed with a thudy

",3,6,1.047234267
323,"dont be fooled by the color of gold 
 any gold youll find is worth cold 
 with the same face i can show 
 its a coin i could grow 
 if its cold and its color is bold

",4,6,1.046003461
324,"a few words are too few  ill speak first 
 a few words will not seem to add force 
 some words are much more 
 on my limerick sheet 
 so ill write anapestapest first

",1,6,1.043147057
325,"a chippendales an odd little plant 
 with a name that can give you a jolt 
 this small shrub has no nuts 
 for it likes just six shoots 
 and its flowers are often a bolt

",2,6,1.042432904
326,"she told me theres only one way 
 to get through your life without sway 
 i said to her man 
 your whole world was a ban 
 then she left me a mess in the hay

",4,6,1.039520234
327,"this chacun is really a fish 
 on whom anglers depend on a wish 
 hes a sump from the sticks 
 at the end of his sticks 
 or the end of his legs from the swish

",4,6,1.0395156
328,"my son chewed some brown twigs by the fire 
 on my lawn when i learned what he bawled 
 so when mack used to dine 
 i felt id have wine 
 and my sons got the idea i shouldered

",1,6,1.037581161
329,"our new job is to teach all the world 
 at all times of the day so it seems 
 but im lacking in wit 
 and its clear that i cant 
 teach my class at this point in my dream

",0,6,1.036883041
330,"we heard on your plane of the trouble 
 your seat belt was not on your bubble 
 the thing that i hate 
 when its used for a ride 
 when i see that youre wearing a trousseau

",1,6,1.036503777
331,"if a limerick youd like to compose 
 use an ae lt or e lt but no way 
 to get back onto the beat 
 to that line you must tap 
 its an ae lt just like an o

",0,6,1.036475681
332,"as i lay on my belly in bed 
 an amniotomy questions were dread 
 if shed look like a ham 
 then i guessed i might have 
 an abdominoma that shed

",3,6,1.035006374
333,"whats the point of my beef in this case 
 youre a moron and dont want to face 
 that guy down by the drain 
 what you do in this case 
 is to shove him away in the face

",3,3,1.034002975
334,"if you see the white sky in the east 
 that is called a true blue sky youll find 
 but this sunsets blue 
 when it shows through the view 
 leaves you in for a moment of serene

",1,6,1.031377405
335,"at my house im a big chicken critic 
 of the food i just cooked a few critters 
 when i told him to go 
 on a tour to bologna 
 he just stuttered his food like a doge

",0,6,1.030843765
336,"cousin lee a duchess of england 
 possessed the whole country and men land 
 she was queen to the land 
 as the king of the bard 
 and as mad as a hatterland

",3,3,1.029642284
337,"i had a tough day for a date 
 but my mood did not go to the weight 
 as my date took off her dress 
 it was caught with my dress 
 the big bimbo was there on my plate

",4,6,1.028888866
338,"for your baby a name that is strong 
 like cia means cia means cia 
 whats not that odd miss 
 that when under my dress 
 i will say she says cia wrong

",2,6,1.026506171
339,"a fuminiform shaped like a fume 
 came from brazil with a long nose like a broom 
 the great fuminators 
 of these furballs arent skippers 
 a true cat stinkers surely a doom

",4,6,1.026060015
340,"the  canus bugs are often quite sly 
 they are small arthropodites or zs 
 i have a few to spare 
 and dont even have hair 
 theyre bugs that a man can eat whey

",1,6,1.025410872
341,"a bullfight occurs every time 
 you are fightsor some other small rime 
 you are bullphobic by name 
 the fight is the same 
 but the victor the victor is lime

",4,6,1.023838267
342,"for that big fat lady on skates 
 try this skates a disc skim or skates 
 with your skates on one face 
 and then down on your lace 
 youll be doing more laps than descends

",2,6,1.022193789
343,"a great blossom the bodhi tree 
 has the beauty of fruit like a pea 
 a buddhas the seed 
 that is blossoming itseed 
 on a wall or a flower stand we

",4,6,1.021028683
344,"said a dashing duke ive a new foe 
 ive a long swordand shieldso im through 
 this old castle ill tear 
 as i plan to dispeach 
 of the knight i just saw what i saw

",0,6,1.019110337
345,"its time for some work hes a thug 
 theres a gun here and no one in sight 
 but his time machine gun 
 is still out of whack now 
 hes a cop who just needs to beight

",0,6,1.016572326
346,"when youve suffered a bang from a gun 
 you are likely to feel some pain 
 you may look askance at it 
 since youve no chance at it 
 but your life wont be any dull

",1,6,1.014732212
347,"the duchessate of the cox 
 is a person whose title is cox 
 or a king from nantucket 
 who isnt very pl bucket 
 his title for life is the duchess

",2,6,1.014050566
348,"if theyd asked why you thought it was bad 
 i might tell them that youre a bad cad 
 so dont lie to the man 
 when youre lying they can 
 see that cad in a bad way hes sad

",4,6,1.013601165
349,"the cedrus as im not a crook 
 cant see why the church is in dock 
 not my favorite part 
 so lets pray in my heart 
 that the gods will grant us the book

",4,6,1.013532043
350,"the ankylosaurus a lizard 
 that can swim with its legs as a rule 
 if youre walking right by 
 and you come to a stop 
 theres an arctophagous creature

",0,6,1.012895156
351,"if youre planning to purchase a pet 
 take the time that i have to invite 
 you to bring in a moo 
 and a cat to stay two 
 or a beagle aint aagle youll get

",2,6,1.012725892
352,"shes the top of her family to me 
 i was shocked when i saw her on tv 
 shes a gal of the cloth 
 all her life shes the wife 
 whos got down on my knees and me too

",1,6,1.012102202
353,"in the old days id like to include 
 my oldfashioned jokes about food 
 but i just didnt get 
 the right rhyme for that nut 
 how they called it those old fuddydwell food

",3,6,1.01200687
354,"my job as a doctor is neat 
 my patients at times can be sweet 
 ill serve up my best 
 what theyve got is quite best 
 and a doctor with deep expertise

",2,6,1.01187215
355,"my new boyfriend has shown such a knack 
 at detroit  and a lot of that stuff 
 but i told him to bring 
 him a big bag of muck 
 so he gave him a tour de france

",0,5,1.011710502
356,"a beelzebubbe a twobird cat 
 got an inkling of paper on that 
 then his pen pal phold patter 
 would write her a chatter 
 an epiphenous letter thats flat

",4,6,1.01078777
357,"a man with a gun in his hand 
 liked to shoot his big brother so grand 
 and it didnt go right 
 as the kid ran away 
 the man found that his kid was a charm

",1,6,1.009833291
358,"youre a man at an early age 
 youre a teen but youre past your peak 
 if youre lucky and fat 
 youll live for some while 
 youre a bit of a finelooking geek

",1,6,1.009288803
359,"my dad bought a cow in the park 
 she showed up a bit mooching a lark 
 what a way to convey 
 that youre going to play 
 with this thing if you dare walk down lark

",4,6,1.008265018
360,"said the prof to the prof i dont care 
 i dont care where the pain from your bear 
 is engendering pain 
 he replied with disdain 
 thats a pain in your foot you blacid

",2,6,1.00748457
361,"ive a hunch we have too much cajun 
 who cares that our cookings in sh mode 
 when we get a good taste 
 so its brownish or blackish 
 for the best of our chicken bran

",1,6,1.007057205
362,"in the air we were sitting and stinking 
 as theres smoke and dust in theinking 
 of the pungent haze 
 the smell that comes close 
 to an acid soon fills us toky

",1,6,1.006036252
363,"the act of adoration by god 
 its a practice that everyone wants 
 but most folks would agree 
 that the bible can be 
 as a good rule most folks shun

",1,6,1.004297204
364,"the gossips who dance in brazil 
 wore gold bracelets they had toac 
 though such bracelets are fine 
 these are nothing like wine 
 theyre too loud for just wearing a stil

",2,6,1.004076153
365,"now your voice is all hoarse and shrill 
 your voice is so bad you feel ill 
 i fear the result 
 youll suffer a nap 
 and well all wind up dead how will you kill

",3,6,1.003791943
366,"my old dog has a certain cachet 
 she loves everything that she sees 
 shes so foxy so nice 
 her response to a mice 
 is to lay down her head and say bleat

",1,6,0.99960883
367,"my son was a bright young kid 
 whose mom was a daughter and dad 
 if youre born every day 
 with that brain  youll be 
 good at picking a fight with a kid

",1,6,0.999045372
368,"my chins a young tenor from clare 
 he will sing till the end of the day 
 ill be taking to glock 
 my two hands and then knock 
 my hand out and then down my chteau

",1,6,0.998475
369,"when youve got the right kind of earring 
 you just cant beat a sounder with speed rings 
 its best not to shout 
 such acclamation is out 
 of this tune if not be a safetzring

",2,6,0.997785121
370,"its a place where im told that im called 
 by the queen im the number of thiam 
 thomas the great was it then 
 bess was heard to exclaim 
 in a voice that goes off the mark

",1,6,0.996298313
371,"cant you see that i must have my voice 
 said a lady in church who was kind 
 since it seemed so adroit 
 i stood up and gave it 
 to a priest who said priestly yours mine

",1,6,0.995552823
372,"i was feeling quite calm in my place 
 when my wife said i dont think its high time 
 to go do something dumb 
 like you cant pay the rent 
 but your rent will not get you to straight

",0,5,0.99510859
373,"if you think that a thing is antino 
 you think that its simply a rino 
 or a color of ink 
 or a flower you think 
 is all white  yes a bright angostino

",4,6,0.994556442
374,"at school theres a new kid named fred 
 who has broken his record thats said 
 he can dance on the spot 
 and be seen as a threat 
 but he cant sing a tune even dead

",3,6,0.992833532
375,"when i write a new piece i start 
 writing under my name its my art 
 if it seems to lack meaning 
 ive failed to arrive 
 in a limerick now i can start

",3,6,0.992724955
376,"if it falls out youre in the wrong way 
 to get help for your problems id say 
 if it fell out youre a dunce 
 you would not need a dunce 
 cuz the way that things fall out is not wry

",2,6,0.990029961
377,"the admen were hoping to lure 
 to their product a product to sell 
 but the product just wasnt there 
 they decided to spare 
 their most prized product  a golf ball they threw

",1,6,0.989001006
378,"she got wind of her choice in the door 
 of the inn to the room she was in 
 she was new as a skier 
 no more skier  butrier 
 she is chucky she wasnt a dor

",2,4,0.988973208
379,"i once knew a fellow named ned 
 a guy from the german cant be 
 said he would lend his ear 
 to this ditties when near 
 and hed never say no in this bed

",2,6,0.986563519
380,"an old man who lived far away 
 found a sign in his yard hed been made 
 for the sign had the name 
 but no sign to his shame 
 he was sadly ignored and ignored

",1,6,0.984510019
381,"my father once called a fine fred 
 with a name that means bold and frank 
 hed shout youre a disgrace 
 get out of my face 
 dont be cocky and call me a dred

",2,6,0.983094007
382,"when theres rain or a smother or 
 theres dew on the ground that could be 
 or when others are gone 
 they may be as well gone 
 but in this case the absence is me

",2,6,0.982216805
383,"the old man was bald and he knew 
 that his head was as large as the bow 
 twas a huge cask of whiskey 
 but no cause for chagrin 
 a mere pail was all he would beow

",3,6,0.981465653
384,"when your brain was like mine it was gone 
 what you thought was a crutch just began 
 you were smart  youre so clever 
 and theres no better 
 my brain  im not born with that on my own

",2,6,0.980813339
385,"an avian bird can be seen 
 on a birdwatch at last in my shegreen 
 a beehives a beaver 
 like jays seethrough whoaver 
 who dove in from a bush in a tree

",2,6,0.979625434
386,"its a doddle with wheels that are bent 
 and that double spindle it bent 
 a halfturn in the spout 
 and a half turns out the spout 
 its a doddle the doddler cant meant

",4,6,0.979003966
387,"in the kitchen with souschef claire 
 i had told him my sweet wife a dare 
 when they went to the wash 
 he went straight for the sink 
 but her hand was unvoiced and bare

",3,6,0.9771972
388,"a crampole that railed at my feet 
 with its strong wooden footfalls was sweet 
 not a memento not just tics 
 i was ready to beat 
 to a carchite i tripped on my seat

",3,3,0.976129837
389,"to a cow that youd want to milk for 
 well put honey in place for 
 your new mare so that she 
 will remain until she 
 feels her pride for the money youll give her

",2,6,0.97524599
390,"theres a chophouse in rome that is run 
 by a proctologist man 
 though the cost is quite high 
 its a wonderful pie 
 that youll find on the sabbath in rome

",2,6,0.975007832
391,"in london we play bridge youll know 
 youll be missing the guy in bteaux 
 but dont worry  youll miss 
 just the time at his wake 
 and then youll be back where youll be

",1,6,0.974949345
392,"a farsighted sagle named fay 
 was taken by a strange whitefly 
 now a bird in his hand 
 says we do that on land 
 in our flight its on cloud nine today

",2,6,0.974872559
393,"with the world as his constant focus 
 he tried hard to be kind and to focus 
 but things got out of hand 
 when he got in the zone 
 of his life  now his wife is a lover

",1,6,0.974449173
394,"a cokehead a crackhead a jerk 
 a crackhead a drunkards a jerk 
 a crackhead a drunk 
 a crackhead a drunk 
 and a backhanded ruse a lout

",2,6,0.973401561
395,"there are words in our language thats clear 
 to say antismoke that is clear 
 but the truth though ive heard 
 is this isnt absurd 
 its used with no meaning thats here

",4,6,0.97286731
396,"while a balsam or a bilberry tree 
 is a hardiness factor you see 
 it will not leave you cold 
 and its edible gold 
 since its useful for cooking by me

",4,6,0.97161375
397,"whats the matter with doc jackie chan 
 he is constantly cranky and pan 
 but hes got a good brain 
 so it should have been brain 
 and the rest of his troubles are gone

",4,6,0.971362174
398,"your bannock is not just a pain 
 but an affront to the heart of a swain 
 like my dear husband hoy 
 when i tell you the goy 
 and your horse the gall wagons remain

",4,6,0.971219629
399,"a duchess of par is a queen 
 and some men in the game have been seen 
 with their gold he can wear 
 which is easy to prove 
 yet a knight in a chateau is alone

",1,6,0.9703255
400,"youve been drinking like mad as a hatter 
 but the doc says its just a matter 
 your colicis  theyre found 
 in your sinus behind 
 your neck bone its known as your catter

",4,6,0.968982756
401,"im a scotsman said pat with delight 
 of a danish dessert called a kite 
 its a nice one my lad 
 but whats best are its plump 
 its a chocolate with egg in its bite

",3,6,0.968271211
402,"theres no one quite knows how this guy is 
 the consummate best known as briezyos 
 a jiminyjiminy 
 from kumquats to prunus 
 with all of that macking up jimsy

",0,4,0.968215764
403,"an acarist helps to protect 
 the whole world as well as from harm 
 if it isnt for money 
 just because he is funny 
 then why should i go to the law

",1,6,0.967973709
404,"if a film is just cut in half 
 and no more in between you can chuck 
 it might seem like a goof 
 and a laugh might be two 
 but if only were two and the c

",1,6,0.967483319
405,"theres no way to lose weight it was plain 
 she said yes but she said no i disdain 
 my diet so please 
 must be bagatelle please 
 take your bagel and bake it for remain

",4,6,0.96688835
406,"a cantankerous lout from the south 
 took a nudge from a rumpet by drench 
 at the back of the car 
 he could not be much far 
 of an inch of the frenchmans jepee

",1,6,0.966325149
407,"theres a bird thats not even avian 
 shes an evergreen bird she is tryin 
 this evergreen hedgidll 
 squeak bird of prey scowell 
 shes so cute with her name   shes begyn

",4,6,0.963856481
408,"the best thing to do when youve done it 
 is to do it again and again it 
 should do just as you like 
 with each new move that you make 
 now youve made me your new girlfriend and thats it it

",3,6,0.963461578
409,"the euripides made from fourribe 
 foursomes cotylate leaves with a sheen 
 they are used to make candles 
 and candles for days 
 but theyre fragrant which means they should be

",0,6,0.963033602
410,"bills at eight bucks a share if they sell 
 but if theyre not there to contend 
 they dont need to be cowed 
 to be honest theyre cowed 
 and thus crybills not paid in full

",2,6,0.962990969
411,"as a poet of works poetical 
 id like you to add poetical 
 in my limericks you write 
 i cant help but complain 
 as youre sadly a sadly literal

",3,6,0.96252133
412,"a crossdresser  heres my advice 
 as a crossdresser im not a tease 
 all the guys in my street 
 are impressed as they meet 
 see this dude isnt wearing a coat

",1,6,0.962331533
413,"the first barrow was found in japan 
 but now on a worldwide tour he is can 
 to tour all the places 
 theres barrowrosses allcherries 
 at first it was found in manhassan

",4,6,0.961487964
414,"a good bookkeeping firm must be firm 
 since its also a source of some worm 
 as a source of funds 
 its the role of theunes 
 a big pig or the publics firm hand

",1,6,0.960948827
415,"theres a line in this limericks rough 
 by an adder its meaning is mc 
 what is written and done 
 but the word that i won 
 means the adder is just an adder

",1,6,0.960175905
416,"when you take on the things in your bag 
 dont use any of your tricks to get by 
 use a fork and a saw 
 when youre out to the yard 
 all you need is a mop and a ag

",1,6,0.959861085
417,"our ball players will seldom be able 
 to protect us from errors or labelable 
 but their habits must change 
 so ive something to prove 
 since theyre called so well known theyre ballable

",4,6,0.959078982
418,"my grandma plays whistlin to learn 
 and i hope it soon will be return 
 when i see it  im vexed 
 cause she cant see her text 
 cause she only reads english  how spern

",4,6,0.958685351
419,"on a pond by a very short ways 
 my friend will play tricks for the baize 
 in which he will bob 
 then wham and throw bob 
 a fine fish he can serve as my bait

",2,6,0.955968201
420,"theres a guy a good friend of my aunt 
 who has a great deal of girth 
 he is thick its not fat 
 not a thing like a rat 
 but a weighty and sweet curvy gaunt

",2,6,0.955282956
421,"since she lives in a mansion and dwelling 
 hes a danishman living there dwelling 
 she serves as a dame 
 at his side just the same 
 yes this danishman has nothing but telling

",4,6,0.953436489
422,"when my grandfather died on a whim 
 we would say with great pride  he had done it 
 when he died we would cry 
 cause his body was dry 
 so the cry that we used wasnt clam

",2,6,0.951144293
423,"theyre just one of the many great things 
 like the life of an artist whose wings 
 hurt the eyeshadowing night 
 when youre painting on light 
 in the dark by his light he swings

",4,6,0.950941348
424,"theres a church thats in dallas named chris 
 and a church that is known as the bist 
 when you hear them you know 
 they say that theres a show 
 in which parishes people watch yes

",2,6,0.950740859
425,"theres a new kind of eels called the eel 
 that has hairs that are short not precise 
 they will roll down each petal 
 and grow to be firmll 
 the eelers a beautiful fish

",1,4,0.950414021
426,"a great thing this is in the main 
 such as when a good ship has to wane 
 like the whaling we heard 
 whos now anchorless bird 
 or the poor bird the fish whos a jain

",2,6,0.950147539
427,"the word desolations when used 
 with desols to mean sandstoneused 
 to mean sand thats pure gold 
 though for me it is cold 
 since in water the desolators fused

",4,6,0.948867451
428,"a decipients like my computer 
 should stay in the memory bane of it 
 in that place in its place 
 my old program has grace 
 since memory memory memory memory not quite as keen

",1,6,0.947864145
